name,club,defoff,matches,mins,goals,assists,yellow_cards,prediction
Florian Wirtz,Bayer Leverkusen,0,29,2224,5,6,1,Yes
Leon Bailey,Bayer Leverkusen,0,30,2141,9,8,6,Yes
Jonathan Tah,Bayer Leverkusen,0,27,2219,1,0,3,Yes
Nadiem Amiri,Bayer Leverkusen,0,29,1890,2,6,5,Yes
Patrik Schick,Bayer Leverkusen,0,29,1866,9,1,4,Yes
Kerem Demirbay,Bayer Leverkusen,0,29,1744,4,3,2,Yes
Charles Aránguiz,Bayer Leverkusen,0,21,1669,0,0,4,No
Daley Sinkgraven,Bayer Leverkusen,0,22,1570,0,0,4,No
Wendell,Bayer Leverkusen,0,22,1457,0,0,3,No
Sven Bender,Bayer Leverkusen,0,18,1170,0,0,1,No
Lucas Alario,Bayer Leverkusen,0,25,1245,11,2,2,Yes
Julian Baumgartlinger,Bayer Leverkusen,0,17,1072,2,0,1,No
Lars Bender,Bayer Leverkusen,0,14,936,1,2,2,No
Aleksandar Dragović,Bayer Leverkusen,0,18,1136,1,0,3,No
Karim Bellarabi,Bayer Leverkusen,0,22,798,0,0,2,Yes
Exequiel Palacios,Bayer Leverkusen,0,9,572,0,0,1,No
Demarai Gray,Bayer Leverkusen,0,10,442,1,2,0,No
Timothy Fosu-Mensah,Bayer Leverkusen,0,6,409,0,0,2,No
Jeremie Frimpong,Bayer Leverkusen,0,10,436,0,0,1,No
Lennart Grill,Bayer Leverkusen,0,4,360,0,0,0,No
Mitchell Weiser,Bayer Leverkusen,0,5,226,1,0,0,No
Tin Jedvaj,Bayer Leverkusen,0,3,152,0,0,0,No
Niklas Lomb,Bayer Leverkusen,0,2,135,0,0,0,No
Santiago Arias,Bayer Leverkusen,0,1,90,0,0,0,No
Paulinho,Bayer Leverkusen,0,1,65,0,0,0,No
Marvin Friedrich,Union Berlin,0,34,3060,5,2,1,Yes
Robin Knoche,Union Berlin,0,34,3042,1,0,4,Yes
Andreas Luthe,Union Berlin,0,31,2768,0,0,1,Yes
Christopher Trimmel,Union Berlin,0,31,2572,1,9,9,Yes
Robert Andrich,Union Berlin,0,29,2526,5,2,5,Yes
Christopher Lenz,Union Berlin,0,27,2248,0,3,3,Yes
Marcus Ingvartsen,Union Berlin,0,30,1963,3,5,4,Yes
Grischa Prömel,Union Berlin,0,24,1816,3,1,7,Yes
Max Kruse,Union Berlin,0,22,1629,11,5,0,Yes
Taiwo Awoniyi,Union Berlin,0,21,1359,5,2,0,Yes
Nico Schlotterbeck,Union Berlin,0,16,1285,1,0,4,No
Sheraldo Becker,Union Berlin,0,18,1106,3,3,2,No
Christian Gentner,Union Berlin,0,22,1033,0,0,0,Yes
Julian Ryerson,Union Berlin,0,24,1069,0,2,2,Yes
Joel Pohjanpalo,Union Berlin,0,19,851,6,0,0,No
Marius Bülter,Union Berlin,0,26,977,1,0,1,Yes
Sebastian Griesbeck,Union Berlin,0,24,890,0,0,3,Yes
Petar Musa,Union Berlin,0,14,715,1,3,2,No
Florian Hübner,Union Berlin,0,6,525,0,0,3,No
Cedric Teuchert,Union Berlin,0,24,754,3,1,2,Yes
Keita Endo,Union Berlin,0,16,456,1,0,0,No
Niko Gießelmann,Union Berlin,0,13,430,0,0,3,No
Loris Karius,Union Berlin,0,4,292,0,0,0,No
Akaki Gogia,Union Berlin,0,7,140,0,1,1,No
Leon Dajaku,Union Berlin,0,2,37,0,0,0,No
Tim Maciejewski,Union Berlin,0,1,8,0,0,0,No
Joshua Mees,Union Berlin,0,1,5,0,0,0,No
